nohup: 忽略输入
30246
Reading training data...
Reading validation data...
Epoch [1/5]
Iter:   6200,  Train Loss: 0.0039,  Train Acc: 100.00%,  Val Loss:  0.26,  Val Acc: 93.45%,  Time: 6:17:50 
Iter:   6300,  Train Loss:  0.11,  Train Acc: 100.00%,  Val Loss:  0.26,  Val Acc: 93.21%,  Time: 6:23:52 
Iter:   6400,  Train Loss:  0.02,  Train Acc: 100.00%,  Val Loss:  0.24,  Val Acc: 93.87%,  Time: 6:29:54 *
Iter:   6500,  Train Loss:   0.7,  Train Acc: 75.00%,  Val Loss:  0.26,  Val Acc: 93.75%,  Time: 6:35:53 
Iter:   6600,  Train Loss:  0.55,  Train Acc: 87.50%,  Val Loss:  0.24,  Val Acc: 94.00%,  Time: 6:41:58 *
Iter:   6700,  Train Loss: 0.0049,  Train Acc: 100.00%,  Val Loss:  0.23,  Val Acc: 94.05%,  Time: 6:48:08 *
Iter:   6800,  Train Loss: 0.0092,  Train Acc: 100.00%,  Val Loss:  0.22,  Val Acc: 93.83%,  Time: 6:54:14 
Iter:   6900,  Train Loss: 0.0083,  Train Acc: 100.00%,  Val Loss:  0.25,  Val Acc: 93.37%,  Time: 7:00:16 
Iter:   7000,  Train Loss: 0.0063,  Train Acc: 100.00%,  Val Loss:  0.25,  Val Acc: 93.73%,  Time: 7:06:18 
Iter:   7100,  Train Loss:  0.13,  Train Acc: 100.00%,  Val Loss:  0.24,  Val Acc: 93.14%,  Time: 7:12:18 
Iter:   7200,  Train Loss:  0.12,  Train Acc: 100.00%,  Val Loss:  0.27,  Val Acc: 93.47%,  Time: 7:18:18 
Iter:   7300,  Train Loss:  0.87,  Train Acc: 87.50%,  Val Loss:  0.27,  Val Acc: 93.65%,  Time: 7:24:18 
Iter:   7400,  Train Loss:   0.1,  Train Acc: 100.00%,  Val Loss:  0.26,  Val Acc: 93.30%,  Time: 7:30:19 
Iter:   7500,  Train Loss:  0.28,  Train Acc: 87.50%,  Val Loss:  0.26,  Val Acc: 93.73%,  Time: 7:36:20 
Iter:   7600,  Train Loss:  0.04,  Train Acc: 100.00%,  Val Loss:  0.23,  Val Acc: 93.65%,  Time: 7:42:28 
Iter:   7700,  Train Loss:  0.23,  Train Acc: 87.50%,  Val Loss:  0.25,  Val Acc: 93.32%,  Time: 7:48:33 
Iter:   7800,  Train Loss:  0.69,  Train Acc: 75.00%,  Val Loss:  0.26,  Val Acc: 93.35%,  Time: 7:54:38 
Iter:   7900,  Train Loss: 0.0061,  Train Acc: 100.00%,  Val Loss:  0.26,  Val Acc: 93.77%,  Time: 8:00:45 
Iter:   8000,  Train Loss:  0.11,  Train Acc: 87.50%,  Val Loss:  0.23,  Val Acc: 93.85%,  Time: 8:06:52 
Iter:   8100,  Train Loss: 0.0061,  Train Acc: 100.00%,  Val Loss:  0.25,  Val Acc: 93.82%,  Time: 8:12:58 
Iter:   8200,  Train Loss: 0.0069,  Train Acc: 100.00%,  Val Loss:  0.26,  Val Acc: 93.59%,  Time: 8:19:06 
Iter:   8300,  Train Loss: 0.0079,  Train Acc: 100.00%,  Val Loss:  0.23,  Val Acc: 93.98%,  Time: 8:25:13 
